Index,Title,Genre,Tags,Languages,Type,Hidden Gem Score,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site
60,Ordinary People,Drama,"Korean Movies,Thriller Movies,Crime Thrillers",English,Movie,4.2,0,Robert Redford,"Alvin Sargent, Judith Guest","Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",R,7.7,89,86,19,14,"54,766,923.00",9/19/1980,2/28/2021,"Paramount Pictures, Wildwood Enterprises",https://www.netflix.com/watch/81388042,https://www.imdb.com/title/tt0081283,"During a probe into a missing high school student, her best friend and a new gym teacher stumble upon the sinister truth behind her disappearance.",47265,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXmZsvgOX6yQRCwO5iMcvEk8ujsYjo0vxl9JDrfuvOioX9GXMUI0ZzZK0SMzHk4Aah8DRjlulbRz_g-w79dPP1ZTjg.jpg?r=692,https://m.media-amazon.com/images/M/MV5BNWU3MDFkYWQtMWQ5YS00YTcwLThmNDItODY4OWE2ZTdhZmIwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,https://www.youtube.com/watch?v=BdjlLq1tqmU,YouTube
62,Paths of the Soul,Drama,"Chinese Movies,Dramas,Mainland Chinese Movies",Tibetan,Movie,8.9,0,Yang Zhang,Yang Zhang,"Pei Yang, Tsring Chodron, Tsewang Dolkar, Jiangcuo Seba",Not Rated,7.5,94,90,5,7,"31,747.00",6/20/2017,2/28/2021,,https://www.netflix.com/watch/80084094,https://www.imdb.com/title/tt4957446,"From harsh weather to unwavering devotion, this docudrama follows several villagers on a walking pilgrimage to Lhasa — the holy capital of Tibet.",738,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWoL5zWWHnpvkTXuIgX5lovvFANNFnRs79bLqkBPJ8stiYHEvhZKtmhYr_r7GK2hwUsL1FyYZrhjAwCUiTh2euyuuA.jpg?r=fab,https://m.media-amazon.com/images/M/MV5BMjMwMDc4OTA2NV5BMl5BanBnXkFtZTgwNTMwOTA1ODE@._V1_SX300.jpg,https://www.youtube.com/watch?v=yfKZFJSYMK8,YouTube
64,Rebel in the Rye,"Biography, Drama, Romance, War","Movies Based on Real Life,Dramas,Movies Based on Books,US Movies",English,Movie,3.1,0,Danny Strong,"Kenneth Slawenski, Danny Strong","Kevin Spacey, Nicholas Hoult, Victor Garber, Hope Davis",PG-13,6.7,30,46,,,"378,294.00",9/15/2017,2/28/2021,Black Label Media,https://www.netflix.com/watch/80172967,https://www.imdb.com/title/tt4986134,"A young J.D. Salinger struggles to write his classic novel, ""The Catcher in the Rye,"" under the tutelage of a demanding mentor.",8472,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe48UhyPjB5FjXrIFiYICWZDtrhqH-UjZxKYWWfhHFx7TyH3pRtg_efawMKB7ebKaf549Py0YnvsBSRiGL1r4ih3lQ.jpg?r=f34,https://m.media-amazon.com/images/M/MV5BMTUyMDQ2ODI0M15BMl5BanBnXkFtZTgwMDY0NDYxMzI@._V1_SX300.jpg,https://www.youtube.com/watch?v=hjt3J9mM7aE,YouTube
68,Stray,"Action, Crime, Fantasy, Thriller","Horror Movies,Russian Movies,Supernatural Horror Movies",English,Movie,7.3,0,Joe Sill,"Alex Theurer, J.D. Dillard, Joe Sill","Karen Fukuhara, Christine Woods, Ross Partridge, Miyavi",Not Rated,4.8,56,54,,,,4/1/2019,2/28/2021,Diablo Entertainment,https://www.netflix.com/watch/81406069,https://www.imdb.com/title/tt6294226,"To fill the void left by the disappearance of their son, a couple adopts a feral child from an orphanage – but their choice has dark consequences.",688,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABehVpD_7TlcgHfaWkg4SrzjPtC5tBOvFQeKeVYnvjsnkIsVjnjpvpjBSf_J4aI0ixNkL4IPXdRRcTHk3cujOS7EDDQ.jpg?r=d80,https://m.media-amazon.com/images/M/MV5BMmE0NTY5YmItYjY1ZC00MWQ3LTg4NDItNzEyMjhhYjFhNGY5XkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=QeEgib0FZbI,YouTube
69,Stand by Me,"Adventure, Drama","Korean Movies,Dramas",English,Movie,4.1,0,Rob Reiner,"Bruce A. Evans, Stephen King, Raynold Gideon","Jerry O'Connell, Wil Wheaton, River Phoenix, Corey Feldman",R,8.1,91,75,5,11,"52,287,414.00",8/22/1986,2/28/2021,Columbia Pictures Corporation,https://www.netflix.com/watch/80995482,https://www.imdb.com/title/tt0092005,"Learning of his imminent departure from life, a grandfather spends his final days preparing parting gifts for his young grandchildren.",364302,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVNAU9zADP6kFOJMxgxFyflhRLUuPsyYlmOr4DfuPddc2iwwkE1kDGj67yw-SA29fsZgLe5vyTqe2pmp0vRMu45ITw.jpg?r=d05,https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=KCxBHM17y-4,YouTube
73,Wonderstruck,"Adventure, Drama, Mystery","Children & Family Movies,Action & Adventure,Dramas,Adventures,Movies Based on Books,Mysteries,Family Features,US Movies","English, Spanish",Movie,3.6,0,Todd Haynes,Brian Selznick,"James Urbaniak, Julianne Moore, Millicent Simmonds, Cory Michael Smith",PG,6.2,68,71,1,33,"1,060,377.00",10/20/2017,2/28/2021,"Picrow, Amazon Studios, Cinetic Media, FilmNation Entertainment",https://www.netflix.com/watch/80190929,https://www.imdb.com/title/tt5208216,Two children from different eras each embark on a journey of self-discovery that leads to New York City and a mysterious bond that connects them both.,9533,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABV4MmEq2UTyr5PJfXQXdOjNcjrkV_quj1BqmezagQSH6_dQ19jLgKH951NH2ONi1y74ZgoYX50XQ2K3kL-hUAyRDpw.jpg?r=dcd,https://m.media-amazon.com/images/M/MV5BMjM3NjY0MTYwM15BMl5BanBnXkFtZTgwMDI5NzA2MzI@._V1_SX300.jpg,https://www.youtube.com/watch?v=o1vV0oorclg,YouTube
75,Intimate Strangers,"Drama, Romance, Thriller","Korean Movies,Comedies",French,Movie,6.4,0,Patrice Leconte,"Jérôme Tonnerre, Patrice Leconte","Fabrice Luchini, Sandrine Bonnaire, Anne Brochet, Michel Duchaussoy",R,7,86,71,,3,"2,110,589.00",9/3/2004,2/28/2021,"Les Films Alain Sarde, France 2 Cinema",https://www.netflix.com/watch/81283663,https://www.imdb.com/title/tt0363532,"At a dinner party, longtime friends and their partners play a game of sharing every new call, text and email on their phones with the entire group.",4813,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbPuiZUIyySIY_Q9dzy_4XRqGTkp1-eDAg7OxyjqHuYaQes1R_mRTWOBf4GZzSnwWr-zoouYrgwZknvtQQw8ooc-tw.jpg?r=832,https://m.media-amazon.com/images/M/MV5BMTI1MzczNDM1NV5BMl5BanBnXkFtZTcwMTUyMzYyMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=34YVqhsyDzA,YouTube
96,The Girl on the Train,"Crime, Drama, Mystery, Thriller","Bollywood Movies,Psychological Thrillers,Crime Movies,Thriller Movies,Movies Based on Books,Mysteries,Indian Movies,Crime Thrillers,Hindi-Language Movies","English, Spanish",Movie,2.6,3,Tate Taylor,"Paula Hawkins, Erin Cressida Wilson","Emily Blunt, Justin Theroux, Rebecca Ferguson, Haley Bennett",R,6.5,44,48,4,12,"75,395,035.00",10/7/2016,2/27/2021,"Sony Classical, Universal Pictures, Reliance Entertainment, Marc Platt Productions",https://www.netflix.com/watch/81144153,https://www.imdb.com/title/tt3631112,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.,169614,https://occ-0-3607-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb3rZKfaauyN8WT8sbR5ff99IqyKg4vCVWv3UBB1iD9fZ37zoc9V8M0hi2WSyoUiivNzrdtUi5zSwVYReJLQoxgjFrMxCA0S1n2Or9W5VGviAkMMpR6J4NQy3kw.jpg?r=dfd,https://m.media-amazon.com/images/M/MV5BNzFlMjA0ZmUtZWI0Mi00ZGJkLTlmMmYtZmE1ODZiMjhjMGM0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=-CKPj4O5_9s,YouTube
98,Ride Your Wave,"Animation, Comedy, Drama, Family, Fantasy, Romance","Sci-Fi & Fantasy,Anime Movies,Romantic Movies,Japanese Movies,Sci-Fi & Fantasy Anime,Romance Anime",Japanese,Movie,7.9,0,Masaaki Yuasa,Reiko Yoshida,"Kentaro Ito, Honoka Matsumoto, Rina Kawaei, Ryôta Katayose",Not Rated,6.8,93,63,2,3,"332,432.00",2/19/2020,2/26/2021,,https://www.netflix.com/watch/81253737,https://www.imdb.com/title/tt9193612,Hinako is heartbroken when her boyfriend drowns – until she discovers that he reappears in water when she sings their favorite song.,1601,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdxFtkcl0NY1IyFlcJWx8vHqdlyKCGyNnQ_ku-ozf0aOIdJC0qNgD8nqwq84pY3pcP1JcmJpo54TAEwm-IuVgD74Pg.jpg?r=538,https://m.media-amazon.com/images/M/MV5BMWE0NjdiMTAtMzY3My00NzUxLTljMDMtNmYxNmRiYmQxZmM0XkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=Cl1AI-3zcnk,YouTube
109,Red,"Action, Comedy, Crime, Thriller","Dramas,Crime Movies,Crime Dramas,Indian Movies,Telugu-Language Movies","English, Russian",Movie,3.4,3,Robert Schwentke,"Cully Hamner, Warren Ellis, Erich Hoeber, Jon Hoeber","Bruce Willis, Jefferson Brown, Mary-Louise Parker, Heidi von Palleske",PG-13,7,72,60,4,19,"90,380,162.00",10/15/2010,2/23/2021,Di Bonaventura Pictures,https://www.netflix.com/watch/81408627,https://www.imdb.com/title/tt1245526,"A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky.",290548,https://occ-0-56-55.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRDFJdvb-kE4eKFP1_R0_t1ui4Zuz4ApoE3VP2FSQ6C_3KtZaCY2S5PPoObJyEENJbNv6n898Ob8mxix-HPPC-u0uw.jpg?r=96d,https://m.media-amazon.com/images/M/MV5BMzg2Mjg1OTk0NF5BMl5BanBnXkFtZTcwMjQ4MTA3Mw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=-JZ_moituIo,YouTube
122,Burden,Drama,"Movies Based on Real Life,Dramas,Award-winning Dramas",English,Movie,7.8,0,Andrew Heckler,Andrew Heckler,"Garrett Hedlund, Tom Wilkinson, Andrea Riseborough, Forest Whitaker",R,6.6,97,57,2,1,"139,270.00",6/9/2020,2/19/2021,Magnolia Pictures,https://www.netflix.com/watch/80240857,https://www.imdb.com/title/tt5314450,A young man who rises to the top of the South Carolina Ku Klux Klan decides to walk away with the help of an unexpected ally. Based on real events.,1814,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWD5wil5P2u7Rh8OxUQJpBAb6udJBzfCJRtd1B8O-EvwdP0I2vodDgrzLfpaS-PVlvlpzwYG3MTdSZREnJhpoT00jQ.jpg?r=ad6,https://m.media-amazon.com/images/M/MV5BMTlhNzVmNTktMDRjZi00MTllLWFlNmEtZDhlNmI0MTQxZTU3XkEyXkFqcGdeQXVyOTIxNTAyMzU@._V1_SX300.jpg,https://www.youtube.com/watch?v=SATynwll5fE,YouTube
124,Love,"Drama, Romance","Psychological Thrillers,Dramas,Thrillers,Indian Films,Malayalam-language Films","English, French",Movie,2.5,0,Gaspar Noé,Gaspar Noé,"Klara Kristin, Ugo Fox, Karl Glusman, Aomi Muyock",TV-MA,6.1,40,51,2,1,"249,083.00",10/30/2015,2/19/2021,,https://www.netflix.com/watch/81365135,https://www.imdb.com/title/tt3774694,The troubling inner workings of a toxic marriage reveal themselves in surprising ways after one of the couple’s feuds spins out of control.,48843,https://occ-0-293-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcXiEo05a1QM6wSMmoOB2LCdq6Yv7tFGl6kZvfkeB-WOCtiNXneIVsn9Wrpuwt0SGp2y5_rmSrXwsGsQtOAUuTst1Q.jpg?r=4f9,https://m.media-amazon.com/images/M/MV5BMTQzNDUwODk5NF5BMl5BanBnXkFtZTgwNzA0MDQ2NTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=EDzuG0UrQ2g,YouTube
136,The Shadow,"Action, Adventure, Crime, Fantasy, Mystery, Thriller","Action & Adventure,Adventures,Crime Action & Adventure",English,Movie,2.4,0,Russell Mulcahy,"David Koepp, Walter B. Gibson","Alec Baldwin, Peter Boyle, Penelope Ann Miller, John Lone",PG-13,6.1,35,50,,4,"32,063,435.00",7/1/1994,2/17/2021,"Universal Pictures, Bregman/Baer Productions",https://www.netflix.com/watch/952839,https://www.imdb.com/title/tt0111143,"By day, a reformed criminal masquerades as a decadent playboy; by night he becomes single-minded crime-fighting hero the Shadow.",23422,https://occ-0-1567-185.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYo7k0K6y29Jw_r5vlYjC6zXxufCYD1gnV9jpLIll7G4oh2T4fXqpxa0Mn669b3gh61W1-kNTY7XsEwxs32ypHyUNg.jpg?r=214,https://m.media-amazon.com/images/M/MV5BYWM3Y2FiN2QtZjhlYS00MzU5LWJmNDgtNzAyOWZlNWM1MDEyXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,https://www.youtube.com/watch?v=8LYIcXs4HV0,YouTube
140,Aftermath,"Drama, Thriller","Dramas,Danish Movies","English, Thai",Movie,2.4,0,Elliott Lester,Javier Gullón,"Arnold Schwarzenegger, Judah Nelson, Maggie Grace, Scoot McNairy",R,5.7,42,44,,,,4/7/2017,2/17/2021,"Protozoa Pictures, Emmett/Furla Films",https://www.netflix.com/watch/70254951,https://www.imdb.com/title/tt4581576,"Claes and Britt experience the worst loss parents could experience -- their child dying -- and six months later, they are both attempting to move on.",22226,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZjgvUfvKDCu48hcfPMFH4BAIWxvVxZxcobtC9wISd2jPLk6t9YIOkQ9OFOcXaO90JgRyf09LOiHan9-yk_5G8Dblg.jpg?r=51c,https://m.media-amazon.com/images/M/MV5BMWFkYmM2ZTctNmZjZi00MWQwLWI0MjctZDdiNjJlMTlmNzdkL2ltYWdlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,https://www.youtube.com/watch?v=oUXUm6he2-s,YouTube
